work;journal
0;19868
1;19868
3;19869
4;19869
5;19869
6;19869
7;19869
8;19869
9;19869
10;19869
11;19869
12;19869
13;19869
14;19869
15;19870
16;19871
18;19871
19;19871
20;19871
17;19872
21;19873
25;19873
32;19873
34;19873
36;19873
37;19873
38;19873
39;19873
41;19873
42;19873
43;19873
44;19873
46;19873
47;19873
49;19873
50;19873
51;19873
52;19873
54;19873
55;19873
57;19873
61;19873
62;19873
63;19873
64;19873
65;19873
67;19873
69;19873
70;19873
71;19873
72;19873
73;19873
74;19873
76;19873
77;19873
79;19873
84;19873
85;19873
86;19873
88;19873
90;19873
91;19873
92;19873
93;19873
94;19873
95;19873
96;19873
98;19873
99;19873
100;19873
101;19873
102;19873
103;19873
105;19873
106;19873
107;19873
108;19873
109;19873
110;19873
111;19873
112;19873
115;19873
116;19873
117;19873
119;19873
121;19873
122;19873
123;19873
124;19873
126;19873
127;19873
129;19873
130;19873
131;19873
132;19873
134;19873
135;19873
136;19873
138;19873
141;19873
142;19873
145;19873
146;19873
147;19873
148;19873
149;19873
152;19873
153;19873
154;19873
156;19873
157;19873
158;19873
159;19873
160;19873
162;19873
163;19873
164;19873
165;19873
166;19873
167;19873
168;19873
169;19873
174;19873
175;19873
177;19873
179;19873
180;19873
181;19873
182;19873
183;19873
185;19873
186;19873
187;19873
188;19873
189;19873
190;19873
193;19873
195;19873
198;19873
199;19873
200;19873
201;19873
202;19873
203;19873
204;19873
205;19873
207;19873
208;19873
209;19873
211;19873
212;19873
213;19873
214;19873
216;19873
217;19873
219;19873
220;19873
222;19873
223;19873
224;19873
225;19873
226;19873
227;19873
228;19873
229;19873
230;19873
231;19873
232;19873
234;19873
235;19873
237;19873
241;19873
243;19873
244;19873
245;19873
248;19873
253;19873
256;19873
133;19874
139;19874
143;19874
144;19874
22;19874
23;19874
24;19874
150;19874
151;19874
27;19874
28;19874
30;19874
31;19874
161;19874
35;19874
40;19874
170;19874
172;19874
45;19874
173;19874
48;19874
176;19874
178;19874
53;19874
59;19874
60;19874
191;19874
66;19874
194;19874
68;19874
196;19874
197;19874
75;19874
78;19874
206;19874
80;19874
82;19874
83;19874
87;19874
215;19874
89;19874
218;19874
221;19874
97;19874
238;19874
239;19874
113;19874
242;19874
246;19874
247;19874
120;19874
249;19874
250;19874
128;19875
58;19875
171;19875
140;19875
114;19875
210;19875
118;19875
56;19875
26;19875
251;19875
252;19875
29;19875
192;19876
33;19876
236;19876
576;19877
573;19877
580;19877
581;19877
104;19877
137;19877
233;19877
584;19877
575;19877
240;19877
81;19877
570;19877
155;19877
125;19877
254;19877
255;19877
184;19878
512;19879
513;19879
514;19879
515;19879
516;19879
517;19879
518;19879
519;19879
520;19879
521;19879
522;19879
523;19879
524;19879
525;19879
526;19879
527;19879
528;19879
529;19879
530;19879
531;19879
532;19879
533;19879
534;19879
535;19879
536;19879
537;19879
538;19879
539;19879
540;19879
541;19879
542;19879
543;19879
544;19879
545;19879
546;19879
547;19879
548;19879
549;19879
550;19879
551;19879
552;19879
257;19879
258;19879
259;19879
260;19879
261;19879
262;19879
263;19879
264;19879
265;19879
266;19879
267;19879
268;19879
269;19879
270;19879
271;19879
272;19879
273;19879
274;19879
275;19879
276;19879
277;19879
278;19879
279;19879
280;19879
281;19879
282;19879
283;19879
284;19879
285;19879
286;19879
287;19879
288;19879
289;19879
290;19879
291;19879
292;19879
293;19879
294;19879
295;19879
296;19879
297;19879
298;19879
299;19879
300;19879
301;19879
302;19879
303;19879
304;19879
305;19879
306;19879
307;19879
308;19879
309;19879
310;19879
311;19879
312;19879
313;19879
314;19879
315;19879
316;19879
317;19879
318;19879
319;19879
320;19879
321;19879
322;19879
323;19879
324;19879
325;19879
326;19879
327;19879
328;19879
329;19879
330;19879
331;19879
332;19879
333;19879
334;19879
335;19879
336;19879
337;19879
338;19879
339;19879
340;19879
341;19879
342;19879
343;19879
344;19879
345;19879
346;19879
347;19879
348;19879
349;19879
350;19879
351;19879
352;19879
353;19879
354;19879
355;19879
356;19879
357;19879
358;19879
359;19879
360;19879
361;19879
362;19879
363;19879
364;19879
365;19879
366;19879
367;19879
368;19879
369;19879
370;19879
371;19879
372;19879
373;19879
374;19879
375;19879
376;19879
377;19879
378;19879
379;19879
380;19879
381;19879
382;19879
383;19879
384;19879
385;19879
386;19879
387;19879
388;19879
389;19879
390;19879
391;19879
392;19879
393;19879
394;19879
395;19879
396;19879
397;19879
398;19879
399;19879
400;19879
401;19879
402;19879
403;19879
404;19879
405;19879
406;19879
407;19879
408;19879
409;19879
410;19879
411;19879
412;19879
413;19879
414;19879
415;19879
416;19879
417;19879
418;19879
419;19879
420;19879
421;19879
422;19879
423;19879
424;19879
425;19879
426;19879
427;19879
428;19879
429;19879
430;19879
431;19879
432;19879
433;19879
434;19879
435;19879
436;19879
437;19879
438;19879
439;19879
440;19879
441;19879
442;19879
443;19879
444;19879
445;19879
446;19879
447;19879
448;19879
449;19879
450;19879
451;19879
452;19879
453;19879
454;19879
455;19879
456;19879
457;19879
458;19879
459;19879
460;19879
462;19879
463;19879
464;19879
465;19879
466;19879
467;19879
468;19879
469;19879
470;19879
471;19879
472;19879
473;19879
474;19879
475;19879
476;19879
477;19879
478;19879
479;19879
480;19879
481;19879
482;19879
483;19879
484;19879
485;19879
486;19879
487;19879
488;19879
489;19879
490;19879
491;19879
492;19879
493;19879
494;19879
495;19879
496;19879
497;19879
498;19879
499;19879
500;19879
501;19879
502;19879
503;19879
504;19879
505;19879
506;19879
507;19879
508;19879
509;19879
510;19879
511;19879
553;19880
554;19881
574;19882
585;19883
577;19883
579;19884
583;19885
